listing_id,date
6424036,2015-08-08
6424036,2015-08-11
6424036,2015-08-16
6424036,2015-08-18
6424036,2015-08-19
6424036,2015-08-20
6424036,2015-08-23
6424036,2015-08-26
6424036,2015-09-01
6424036,2015-09-03
6424036,2015-09-06
6424036,2015-09-10
6424036,2015-09-15
6424036,2015-09-21
6424036,2015-09-22
6424036,2015-09-24
6424036,2015-09-26
1530340,2013-08-22
1530340,2013-11-13
1530340,2014-06-26
1530340,2014-08-01
1530340,2014-08-26
1530340,2014-12-29
1530340,2015-01-02
1530340,2015-01-19
1530340,2015-01-28
1530340,2015-02-17
1530340,2015-03-02
1530340,2015-05-11
1530340,2015-08-08
1530340,2015-09-21
3582091,2014-08-11
3582091,2014-08-31
3582091,2015-01-31
3582091,2015-02-20
3582091,2015-05-02
3582091,2015-06-07
3582091,2015-08-04
3582091,2015-08-18
3582091,2015-09-02
3582091,2015-09-14
5547112,2015-04-06
5547112,2015-05-31
5547112,2015-06-08
5547112,2015-06-18
5547112,2015-06-18
5547112,2015-06-20
5547112,2015-07-01
5547112,2015-08-04
5946216,2015-08-04
5946216,2015-08-13
5946216,2015-08-18
5946216,2015-08-20
5946216,2015-09-02
1013961,2014-07-28
1013961,2014-08-10
1013961,2014-08-28
1013961,2015-04-23
1013961,2015-05-09
1013961,2015-06-10
1013961,2015-06-27
1013961,2015-08-02
1013961,2015-09-05
1013961,2015-10-01
3157791,2014-08-18
3157791,2014-09-02
3576622,2015-07-24
3576622,2015-07-26
3576622,2015-08-03
3576622,2015-08-11
3576622,2015-08-23
3576622,2015-08-29
7596080,2015-09-16
6850337,2015-06-30
6850337,2015-07-06
6850337,2015-07-26
6850337,2015-07-27
6850337,2015-09-08
6850337,2015-09-13
6850337,2015-09-28
6219726,2015-06-06
6219726,2015-06-08
6219726,2015-06-13
6219726,2015-06-15
6219726,2015-07-01
6219726,2015-07-02
6219726,2015-07-21
6219726,2015-07-27
6219726,2015-08-03
6219726,2015-08-04
3153998,2015-08-30
3610115,2014-08-04
3610115,2014-10-20
3610115,2015-05-06
3610115,2015-05-14
3610115,2015-07-01
4404781,2015-07-05
4404781,2015-08-02
4404781,2015-09-06
3236168,2014-07-02
3236168,2014-07-07
3236168,2014-08-19
3236168,2014-09-16
3236168,2014-10-14
3236168,2015-01-26
3236168,2015-08-18
3236168,2015-08-28
7498293,2015-07-23
7859190,2015-09-28
4203089,2014-10-14
4203089,2014-10-19
4203089,2014-10-20
4203089,2014-11-01
4203089,2014-11-03
4203089,2014-11-09
4203089,2014-11-16
4203089,2014-11-18
4203089,2014-12-01
4203089,2014-12-12
4203089,2015-01-12
4203089,2015-02-02
4203089,2015-02-15
4203089,2015-02-22
4203089,2015-02-23
4203089,2015-02-26
4203089,2015-02-28
4203089,2015-03-04
4203089,2015-03-11
4203089,2015-03-17
4203089,2015-03-23
4203089,2015-03-31
4203089,2015-04-06
4203089,2015-04-21
4203089,2015-04-26
4203089,2015-04-27
4203089,2015-05-09
4203089,2015-05-12
4203089,2015-05-23
4203089,2015-05-31
4203089,2015-06-03
4203089,2015-06-06
4203089,2015-06-09
4203089,2015-06-11
4203089,2015-06-15
4203089,2015-06-21
4203089,2015-06-22
4203089,2015-06-29
4203089,2015-07-04
4203089,2015-07-13
4203089,2015-08-01
4203089,2015-08-03
4203089,2015-08-17
4203089,2015-08-21
4203089,2015-08-29
4203089,2015-09-02
4203089,2015-09-13
4203089,2015-09-15
4203089,2015-09-21
4203089,2015-09-28
1747974,2014-08-05
1747974,2014-08-26
1747974,2014-09-04
1747974,2015-08-04
1747974,2015-08-07
1747974,2015-08-10
1747974,2015-09-21
1150781,2013-06-01
1150781,2013-08-03
1150781,2013-08-28
1150781,2014-01-18
1150781,2014-05-12
1150781,2014-11-03
1150781,2015-03-06
1150781,2015-03-10
1150781,2015-06-05
2198694,2015-09-08
7904257,2015-08-24
7904257,2015-08-28
7904257,2015-09-03
7904257,2015-09-07
7373486,2015-08-03
7373486,2015-08-16
7373486,2015-09-07
7373486,2015-09-15
3056333,2014-06-01
3061713,2014-08-20
3061713,2014-12-30
3061713,2015-01-04
3061713,2015-08-16
788974,2012-12-03
788974,2013-07-24
788974,2013-08-05
788974,2013-09-04
788974,2013-09-09
788974,2013-09-10
788974,2013-09-16
788974,2013-09-23
788974,2013-10-01
788974,2013-10-12
788974,2013-10-15
788974,2013-10-22
788974,2013-11-04
788974,2013-12-20
788974,2014-04-22
788974,2014-05-04
788974,2014-05-10
788974,2014-05-20
788974,2014-06-01
788974,2014-06-09
788974,2014-06-16
788974,2014-06-27
788974,2014-07-12
788974,2014-07-15
788974,2014-07-18
788974,2014-07-22
788974,2014-07-30
788974,2014-08-09
788974,2014-08-18
788974,2014-08-26
788974,2014-08-28
788974,2014-09-02
788974,2014-09-21
788974,2014-09-23
788974,2014-09-28
788974,2014-09-30
788974,2014-10-16
788974,2014-10-22
788974,2015-06-23
788974,2015-06-27
788974,2015-07-06
788974,2015-07-26
788974,2015-08-05
788974,2015-08-10
788974,2015-08-15
788974,2015-09-21
5783643,2015-06-09
5783643,2015-07-06
6993342,2015-07-13
6993342,2015-08-15
2734920,2014-06-13
2734920,2014-06-26
2734920,2015-07-30
3069531,2014-07-28
3069531,2014-09-29
3069531,2015-06-26
3069531,2015-07-21
3069531,2015-07-28
1072478,2015-05-25
1072478,2015-05-27
1072478,2015-06-01
1072478,2015-06-07
1072478,2015-07-02
1072478,2015-07-06
1072478,2015-07-15
1072478,2015-07-19
1072478,2015-08-01
1072478,2015-08-07
1072478,2015-08-29
1072478,2015-08-31
1072478,2015-09-02
1072478,2015-09-09
1072478,2015-09-12
1072478,2015-09-30
611247,2012-08-07
611247,2012-09-04
611247,2012-10-08
611247,2013-01-08
611247,2013-05-02
611247,2013-05-21
611247,2013-05-29
611247,2013-06-13
611247,2013-06-17
611247,2013-07-07
611247,2013-07-10
611247,2013-07-15
611247,2013-07-21
611247,2013-07-28
611247,2013-08-06
611247,2013-08-11
611247,2013-08-23
611247,2013-08-27
611247,2013-09-02
611247,2013-09-09
611247,2013-09-16
611247,2013-09-23
611247,2013-10-10
611247,2013-10-15
611247,2013-10-27
611247,2013-11-05
611247,2013-12-02
611247,2014-02-24
611247,2014-05-06
611247,2014-05-17
611247,2014-05-28
611247,2014-09-04
611247,2014-09-08
611247,2014-09-23
611247,2014-10-14
611247,2014-10-19
611247,2014-12-29
611247,2015-01-03
611247,2015-01-19
611247,2015-02-21
611247,2015-04-04
611247,2015-05-23
611247,2015-09-01
611247,2015-09-09
611247,2015-09-23
7698429,2015-08-10
7698429,2015-08-21
7698429,2015-08-25
7698429,2015-08-31
3262779,2014-07-14
3262779,2014-07-20
3262779,2014-08-05
3262779,2014-08-09
3262779,2014-08-28
3262779,2014-08-31
6554311,2015-07-30
6554311,2015-07-30
